Año;País;Tipo de mercado;Servicio;Concepto;Operador;Tipo de Ingreso;Tipo de Paquete;Unidades;Ingresos (Millones €);Ingresos por Operador (Millones €);Empleados por Operador (Núm);Paquetes (Núm);Inversiones por Operador (Millones €);Gastos por Operador (Millones €)
2006;España;N/A;Datos generales;Inversiones en infraestr. de telec. y serv. audiov.;Mediaset España;N/A;N/A;Millones de euros;;;;;136,58;
2006;España;N/A;Datos generales;Inversiones en infraestr. de telec. y serv. audiov.;Movistar;N/A;N/A;Millones de euros;;;;;2235,96;
2006;España;N/A;Datos generales;Inversiones en infraestr. de telec. y serv. audiov.;Orange;N/A;N/A;Millones de euros;;;;;730,18;
2006;España;N/A;Datos generales;Inversiones en infraestr. de telec. y serv. audiov.;Resto;N/A;N/A;Millones de euros;;;;;1537,04;
2006;España;N/A;Datos generales;Inversiones en infraestr. de telec. y serv. audiov.;RTVE;N/A;N/A;Millones de euros;;;;;60,89;
2006;España;N/A;Datos generales;Inversiones en infraestr. de telec. y serv. audiov.;Vodafone;N/A;N/A;Millones de euros;;;;;845,86;
2006;España;N/A;Datos generales;Número de empleados;Movistar;N/A;N/A;Unidades;;;35645;;;
2006;España;N/A;Datos generales;Número de empleados;Ono;N/A;N/A;Unidades;;;4689;;;
2006;España;N/A;Datos generales;Número de empleados;Orange;N/A;N/A;Unidades;;;3800;;;
2006;España;N/A;Datos generales;Número de empleados;Resto;N/A;N/A;Unidades;;;28890;;;
2006;España;N/A;Datos generales;Número de empleados;RTVE;N/A;N/A;Unidades;;;9256;;;
2006;España;N/A;Datos generales;Número de empleados;Televisió de Catalunya;N/A;N/A;Unidades;;;1982;;;
2006;España;N/A;Datos generales;Número de empleados;Vodafone;N/A;N/A;Unidades;;;4471;;;
2006;España;N/A;Datos generales;Paquetes;N/A;N/A;Resto;Unidades;;;;493322;;
2006;España;N/A;Datos generales;Paquetes;N/A;N/A;Tel. fija y banda ancha fija;Unidades;;;;3526511;;
2006;España;N/A;Datos generales;Paquetes;N/A;N/A;Tel. fija, banda ancha fija y TV de pago;Unidades;;;;956530;;
2006;España;Servicio mayorista;Datos generales;Ingresos;Movistar;N/A;N/A;Millones de euros;;3543,67;;;;
2006;España;Servicio mayorista;Datos generales;Ingresos;N/A;Alquiler de circuitos;N/A;Millones de euros;619,77;;;;;
2006;España;Servicio mayorista;Datos generales;Ingresos;N/A;Banda ancha fija mayorista;N/A;Millones de euros;252,21;;;;;
2006;España;Servicio mayorista;Datos generales;Ingresos;N/A;Interconexión fija;N/A;Millones de euros;1530,28;;;;;
2006;España;Servicio mayorista;Datos generales;Ingresos;N/A;Interconexión móvil;N/A;Millones de euros;4236,78;;;;;
2006;España;Servicio mayorista;Datos generales;Ingresos;N/A;Otros servicios mayoristas;N/A;Millones de euros;333,35;;;;;
2006;España;Servicio mayorista;Datos generales;Ingresos;N/A;Transmisión de datos;N/A;Millones de euros;70,45;;;;;
2006;España;Servicio mayorista;Datos generales;Ingresos;N/A;Transporte y difusión de la señal audiovisual;N/A;Millones de euros;338,64;;;;;
2006;España;Servicio mayorista;Datos generales;Ingresos;Orange;N/A;N/A;Millones de euros;;1093;;;;
2006;España;Servicio mayorista;Datos generales;Ingresos;Resto;N/A;N/A;Millones de euros;;1147,57;;;;
2006;España;Servicio mayorista;Datos generales;Ingresos;Vodafone;N/A;N/A;Millones de euros;;1597,23;;;;
2006;España;Servicio minorista;Datos generales;Ingresos;Movistar;N/A;N/A;Millones de euros;;16951,65;;;;
2006;España;Servicio minorista;Datos generales;Ingresos;N/A;Banda ancha fija;N/A;Millones de euros;2784,48;;;;;
2006;España;Servicio minorista;Datos generales;Ingresos;N/A;Banda Ancha móvil;N/A;Millones de euros;462,89;;;;;
2006;España;Servicio minorista;Datos generales;Ingresos;N/A;Comunicaciones de Empresa;N/A;Millones de euros;1281,21;;;;;
2006;España;Servicio minorista;Datos generales;Ingresos;N/A;Otros servicios minoristas;N/A;Millones de euros;1964,5;;;;;
2006;España;Servicio minorista;Datos generales;Ingresos;N/A;Servicios audiovisuales;N/A;Millones de euros;5332,52;;;;;
2006;España;Servicio minorista;Datos generales;Ingresos;N/A;Servicios de información telefónica;N/A;Millones de euros;115,04;;;;;
